Timestamp,What is Your age group ?,Whta is Your highest level of education ?,Which city / town do you currently reside in ?,Do you believe that sports is important for the overall developement of a child ?,How many hours per week does your child spend in physical / sports actively ?,I encourage my child to participate in competitive sports. ,I would support my child if they wanted to pursue sports as a full-time career. ,A career in sports lacks job security. ,Sports can be as respectable and successful a career as medicine/engineering. ,Is your child enrolled in any coaching academy or private training for sports ?,I am aware of sports scholarships for young athletes in India. ,I believe that schools provide enough support for children in sports. ,Sports careers come with high injury risks.  ,A sports career can affect my child's education negatively.  ,Financial stability is a major concern in sports careers.  ,What is Your Gender,Email address,Column 17,Column 14
18/08/2025 13:47:01,Above 50,Undergraduate,Bhadreshwar,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Neutral,Agree,No,Agree,Agree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:47:04,Below 30,Schooling,Mankundu ,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Female,,,
18/08/2025 13:47:06,Below 30,Postgraduate,Kalna ,Agree,Less than 2 hours,Agree,Agree,Agree,Agree,No,Agree,Neutral,Agree,Agree,Agree,Male,,,
18/08/2025 13:47:09,Below 30,Undergraduate,Bhadreswar ,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,Yes,Strongly Agree,Agree,Neutral,Neutral,Neutral,Male,,,
18/08/2025 13:47:11,Below 30,Undergraduate,Howrah ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Yes,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Male,,,
18/08/2025 13:47:14,Below 30,Undergraduate,Chinsurah ,Strongly Agree,6 - 10 hours,Agree,Agree,Neutral,Neutral,No,Agree,Agree,Neutral,Strongly Disagree,Neutral,Female,,,
18/08/2025 13:47:16,Below 30,Schooling,Howrah,Neutral,Less than 2 hours,Agree,Neutral,Strongly Agree,Agree,No,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Male,,,
18/08/2025 13:47:19,Above 50,Undergraduate,Village- Durgarampur,Strongly Agree,2 - 5 hours,Neutral,Neutral,Strongly Agree,Strongly Agree,No,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Male,,,
18/08/2025 13:47:21,Below 30,Undergraduate,Rishra ,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,Planning to,Agree,Agree,Agree,Disagree,Neutral,Male,,,
18/08/2025 13:47:24,41 - 50,Postgraduate,Chandannagar,Strongly Agree,Less than 2 hours,Agree,Neutral,Agree,Agree,No,Agree,Disagree,Disagree,Disagree,Agree,Male,,,
18/08/2025 13:47:26,Below 30,Schooling,Haripal ,Agree,Less than 2 hours,Agree,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Disagree,Neutral,Male,,,
18/08/2025 13:47:29,Above 50,Postgraduate,Chuchura,Strongly Agree,2 - 5 hours,Agree,Agree,Neutral,Agree,Planning to,Agree,Agree,Neutral,Disagree,Agree,Female,,,
18/08/2025 13:47:31,Below 30,Undergraduate,Chandannagar,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Male,,,
18/08/2025 13:47:34,Below 30,Postgraduate,Belur ,Strongly Agree,2 - 5 hours,Agree,Strongly Agree,Agree,Agree,No,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Male,,,
18/08/2025 13:47:36,Below 30,Undergraduate,Chandannagar ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Agree,Neutral,Neutral,Disagree,Disagree,Male,,,
18/08/2025 13:47:39,Below 30,Undergraduate,chandannagar,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,No,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Male,,,
18/08/2025 13:47:41,Below 30,Undergraduate,Bally,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Male,,,
18/08/2025 13:47:44,Below 30,Schooling,Kolkata ,Agree,Less than 2 hours,Agree,Agree,Strongly Agree,Neutral,No,Agree,Agree,Neutral,Strongly Agree,Neutral,Male,,,
18/08/2025 13:47:46,Below 30,Undergraduate,Serampore ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Agree,Neutral,Neutral,Strongly Disagree,Agree,Female,,,
18/08/2025 13:47:49,Above 50,Doctorate / Professional Degree,Bolpur Shantiniketan ,Agree,Less than 2 hours,Agree,Neutral,Agree,Agree,No,Disagree,Disagree,Disagree,Disagree,Agree,Male,,,
18/08/2025 13:47:51,Below 30,Undergraduate,Bhadreswar ,Neutral,2 - 5 hours,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,,
18/08/2025 13:47:54,41 - 50,Postgraduate,Kolkata,Strongly Disagree,Less than 2 hours,Strongly Disagree,Disagree,Agree,Strongly Disagree,No,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Female,,,
18/08/2025 13:47:56,Below 30,Undergraduate,Bhadreswar ,Strongly Agree,Less than 2 hours,Agree,Neutral,Neutral,Neutral,Yes,Neutral,Agree,Neutral,Neutral,Neutral,Male,,,
18/08/2025 13:47:59,Below 30,Undergraduate,Hooghly ,Neutral,2 - 5 hours,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,,
18/08/2025 13:48:02,Below 30,Undergraduate,Serampore ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Disagree,Disagree,No,Agree,Agree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:48:04,Below 30,Undergraduate,Hindmotor,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Agree,Agree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:48:07,Below 30,Undergraduate,Mogra,Strongly Disagree,More than 10 hours,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Male,,,
18/08/2025 13:48:09,Below 30,Undergraduate,Sheoraphuli,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Agree,Agree,Agree,Disagree,Strongly Agree,Male,,,
18/08/2025 13:48:12,Below 30,Undergraduate,Madan pur,Neutral,Less than 2 hours,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,,
